Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
"Flores, ",Male,1/29/2016,2:33 AM,122173,7.797,,Client Services
"Green, Michael",Male,10/10/2008,11:25 AM,99283,2.665,TRUE,Distribution
"Adams, Christine",,6/28/2015,1:08 AM,66582,11.308,TRUE,Business Development
"Nelson, Beverly",Female,9/9/1998,8:26 PM,121918,15.835,FALSE,Legal
"Baker, Marilyn",Female,12/7/1980,3:16 AM,73524,5.207,TRUE,Marketing
"Hall, Cynthia",Female,11/16/1988,6:54 PM,145146,7.482,TRUE,Product
"Rivera, Roger",Male,4/17/1980,11:32 AM,88010,13.886,TRUE,Sales
"Campbell, Bruce",Male,11/28/2009,10:47 PM,114796,6.796,FALSE,Finance
"Mitchell, Kathy",Female,6/22/2005,4:51 AM,66820,9,TRUE,Client Services
"Carter, Clarence",Male,3/26/1996,5:57 AM,93581,6.083,TRUE,Business Development
"Roberts, Chris",,1/24/1980,12:13 PM,113590,3.055,FALSE,Sales
"Gomez, Nancy",Female,9/23/2000,8:05 AM,94976,13.83,TRUE,Engineering
"Phillips, ",,12/17/2011,8:29 AM,41126,14.009,,Sales
"Evans, Todd",Male,2/18/1990,2:41 AM,49339,1.695,TRUE,Human Resources
"Turner, Alan",,3/3/2014,1:28 PM,40341,17.578,TRUE,Finance
"Diaz, Sara",Female,8/15/2007,9:23 AM,83677,8.999,FALSE,Engineering
"Parker, Karen",Female,11/30/1999,7:46 AM,102488,17.653,TRUE,Product
"Cruz, Carl",Male,5/3/2006,5:55 PM,130276,16.084,TRUE,Finance
"Edwards, Henry",Male,6/26/1996,1:44 AM,64715,15.107,TRUE,Human Resources
"Collins, Theresa",Female,4/11/2010,7:18 AM,72670,1.481,TRUE,Engineering
"Reyes, Irene",Female,5/7/1997,9:32 AM,66851,11.279,FALSE,Engineering
"Stewart, Paula",,11/23/2005,2:01 PM,48866,4.271,FALSE,Distribution
"Morris, Denise",Female,11/6/2001,12:03 PM,106862,3.699,FALSE,Business Development
"Morales, ",Female,6/12/2007,5:25 PM,58112,19.414,,Marketing
"Murphy, Matthew",Male,1/2/2013,10:33 PM,35203,18.04,FALSE,Human Resources
"Cook, Kathleen",,4/11/1990,6:46 PM,77834,18.771,FALSE,Business Development
"Rogers, Steve",Male,11/11/2009,11:44 PM,61310,12.428,TRUE,Distribution
"Gutierrez, Nancy",Female,12/15/2012,11:57 PM,125250,2.672,TRUE,Business Development
"Ortiz, Rachel",Female,8/16/1999,6:53 AM,51178,9.735,TRUE,Finance
"Morgan, Jose",Male,10/30/2004,1:39 PM,84834,14.33,TRUE,Finance
"Cooper, Irene",,7/14/2015,4:31 PM,100863,4.382,TRUE,Finance
"Peterson, Todd",,6/10/2003,2:26 PM,84692,6.617,FALSE,Client Services
"Bailey, Johnny",Male,11/6/2009,4:23 PM,118172,16.194,TRUE,Sales
"Reed, Bobby",Male,5/7/2007,10:01 AM,54043,3.833,FALSE,Product
"Kelly, Frances",Female,4/4/1999,4:19 PM,90582,4.709,TRUE,Sales
"Howard, Thomas",Male,6/4/1995,2:24 PM,62096,17.029,FALSE,Marketing
"Ramos, Bonnie",Female,7/2/1991,1:27 AM,104897,5.118,TRUE,Human Resources
"Kim, Margaret",Female,9/10/1988,12:42 PM,131604,7.353,TRUE,Distribution
"Cox, Charles",Male,9/14/2004,8:13 PM,107391,1.26,TRUE,Marketing
"Ward, Robin",Female,6/4/1983,3:15 PM,114797,5.965,TRUE,Sales
"Richardson, Bonnie",Female,11/13/1988,3:30 PM,115814,4.99,FALSE,Product
"Watson, Gerald",,3/17/1995,12:50 AM,137126,15.602,TRUE,Sales
"Brooks, Christopher",Male,3/30/2008,10:52 AM,47369,14.822,FALSE,Legal
"Chavez, Steven",Male,3/30/1980,9:20 PM,35095,8.379,TRUE,Client Services
"Wood, Shawn",Male,9/23/2005,2:55 AM,148115,6.539,TRUE,Finance
"James, Doris",Female,8/20/2004,5:51 AM,83072,7.511,FALSE,Finance
"Bennett, Jeremy",Male,2/1/2008,8:50 AM,100238,3.887,TRUE,Client Services
"Gray, Annie",,9/29/2007,12:11 AM,103495,17.29,TRUE,Business Development
"Mendoza, Annie",Female,1/30/1993,2:05 AM,144887,8.276,TRUE,Sales
"Ruiz, Donna",Female,11/27/1991,1:59 PM,64088,6.155,TRUE,Legal
"Hughes, Janice",Female,3/12/2016,12:40 AM,51082,11.955,FALSE,Legal
"Price, Janice",,8/21/1997,5:12 AM,91719,11.583,TRUE,Legal
"Alvarez, James",,1/26/2005,11:00 PM,128771,8.309,FALSE,
"Castillo, Linda",Female,5/25/2000,5:45 PM,119009,12.506,TRUE,Business Development
"Sanders, Virginia",,5/7/1994,5:58 PM,111858,1.601,TRUE,Legal
"Patel, Harry",Male,8/26/1981,3:16 PM,130620,7.03,FALSE,Legal
"Myers, Heather",Female,7/11/1998,2:17 PM,43026,14.166,FALSE,Client Services
"Long, Cynthia",Female,3/21/1994,8:34 AM,142321,1.737,FALSE,Finance
"Ross, Laura",,7/19/2014,9:23 PM,140371,10.62,TRUE,Marketing
"Foster, Tina",Female,6/16/2016,7:47 PM,100705,16.961,TRUE,Marketing
"Jimenez, Harold",Male,1/2/1985,9:40 PM,77544,12.447,FALSE,Business Development
"Powell, Melissa",Female,6/21/2005,6:33 AM,48109,14.995,FALSE,Finance
"Jenkins, Aaron",Male,2/17/2012,10:20 AM,61602,11.849,TRUE,Marketing
"Perry, Jack",Male,1/12/1997,5:51 AM,103902,12.159,FALSE,Client Services
"Russell, Phyllis",Female,10/11/1996,9:30 PM,136984,8.932,TRUE,Finance
"Sullivan, John",Male,12/23/1989,7:01 AM,80740,19.305,FALSE,Marketing
"Bell, Kathy",Female,3/9/1996,4:33 AM,91712,8.567,FALSE,Finance
"Coleman, Paul",Male,8/4/1993,7:25 PM,42146,3.046,FALSE,Legal
"Butler, Steven",Male,4/23/2013,10:12 PM,68680,16.565,FALSE,Legal
"Henderson, Russell",,5/5/1988,7:57 AM,133980,12.396,TRUE,Legal
"Barnes, Christopher",Male,4/22/2000,10:15 AM,37919,11.449,FALSE,
"Gonzales, Shirley",Female,6/20/2001,10:39 PM,147113,16.135,FALSE,Legal
"Fisher, Bonnie",Female,12/17/1999,3:12 PM,42153,8.454,TRUE,Business Development
"Vasquez, Willie",Male,11/27/2003,6:21 AM,64363,4.023,FALSE,Marketing
"Simmons, Tina",Female,6/12/2009,7:16 AM,114767,3.711,TRUE,Engineering
"Romero, Ashley",Female,8/4/2002,11:00 AM,58698,6.811,TRUE,Business Development
"Jordan, Pamela",Female,7/1/1982,6:51 AM,54585,4.166,FALSE,Product
"Patterson, ",Male,6/22/1991,8:58 PM,76189,18.988,,Legal
"Alexander, Steven",Male,3/1/1995,3:03 PM,109095,9.494,FALSE,Finance
"Hamilton, Andrea",Female,1/12/2012,5:43 AM,120204,9.557,FALSE,Business Development
"Graham, Paul",Male,6/3/2008,3:05 PM,41054,12.299,FALSE,Marketing
"Reynolds, Peter",Male,11/17/1994,6:15 PM,84885,15.402,FALSE,Business Development
"Griffin, Kathleen",,5/9/2016,8:55 AM,119735,18.74,FALSE,Product
"Wallace, Christina",Female,4/13/2012,2:04 PM,110169,13.892,TRUE,Engineering
"Moreno, Helen",Female,11/29/2001,2:30 AM,73789,14.841,TRUE,Product
"West, Marilyn",Female,11/16/1983,8:29 AM,76078,2.401,TRUE,Product
"Cole, Patricia",Female,9/1/2003,6:46 AM,49368,14.226,FALSE,Human Resources
"Hayes, Michelle",Female,3/30/1984,6:43 PM,57325,17.179,TRUE,Human Resources
"Bryant, William",Male,9/29/2002,4:09 PM,66521,5.83,FALSE,Human Resources
"Herrera, Kenneth",Male,8/25/1987,9:16 PM,127654,16.439,TRUE,Client Services
"Gibson, Antonio",Male,10/25/1988,1:50 PM,60866,13.101,TRUE,Business Development
"Ellis, Shirley",Female,5/1/1984,1:15 PM,41334,6.219,TRUE,Human Resources
"Tran, Rebecca",Female,7/10/1992,12:23 AM,94231,17.517,FALSE,Product
"Medina, Carlos",Male,1/4/1995,7:02 AM,146670,10.763,FALSE,Human Resources
"Aguilar, Lois",Female,12/25/1987,4:16 PM,106317,2.235,TRUE,Client Services
"Stevens, Carolyn",Female,4/9/2011,5:38 AM,109260,2.65,TRUE,Business Development
"Murray, Gloria",Female,6/29/2007,5:34 AM,134148,8.833,TRUE,Legal
"Ford, Henry",Male,4/24/1995,4:18 AM,43542,19.687,FALSE,Legal
"Castro, Adam",Male,5/21/2011,1:45 AM,95327,15.12,FALSE,Distribution
"Marshall, Ashley",Female,5/25/2006,11:30 AM,112238,6.03,TRUE,Engineering
"Owens, ",Female,10/3/1990,1:08 AM,132373,10.527,,
"Harrison, Shirley",Female,2/28/1981,1:23 PM,113850,1.854,FALSE,Marketing
"Fernandez, Adam",Male,12/24/1990,8:57 PM,110194,14.727,TRUE,Product
"Mcdonald, Elizabeth",Female,10/9/2003,5:53 PM,146129,5.687,FALSE,Finance
"Woods, Teresa",,1/28/2016,10:55 AM,140013,8.689,TRUE,Engineering
"Washington, Nicole",,3/5/1982,2:28 PM,122717,12.452,FALSE,Sales
"Kennedy, Jennifer",Female,4/4/2009,10:47 PM,71715,13.079,TRUE,Client Services
"Wells, Patricia",Female,11/25/1992,2:24 AM,95322,4.15,FALSE,Product
"Vargas, Philip",Male,7/17/2008,1:30 PM,89227,3.996,FALSE,Legal
"Henry, Patrick",,7/14/1991,2:24 AM,124488,14.837,TRUE,Sales
"Chen, ",Female,8/17/2014,2:00 PM,86230,8.578,No,Distribution
"Freeman, Sean",Male,5/4/1996,8:59 PM,135490,19.934,FALSE,Marketing
"Webb, Brandon",,11/3/1997,8:17 PM,121333,15.295,FALSE,Business Development
"Tucker, Ruth",Female,8/19/1999,4:03 AM,129297,8.067,TRUE,Client Services
"Guzman, Victor",,3/10/2011,8:40 PM,84546,10.489,TRUE,Finance
"Burns, Rebecca",Female,11/15/1980,4:13 AM,85730,5.359,TRUE,Product
"Crawford, Marie",Female,3/16/2003,12:12 AM,104058,17.695,TRUE,Business Development
"Olson, Howard",Male,4/27/1992,1:10 AM,105062,1.563,FALSE,Human Resources
"Simpson, ",Female,7/27/2005,8:32 AM,79536,14.443,Yes,Product
"Porter, Norma",Female,2/28/1999,8:45 PM,114412,8.756,TRUE,Marketing
"Hunter, James",,11/22/1983,10:52 PM,68501,14.316,FALSE,Marketing
"Gordon, Kathy",Female,3/18/2000,7:26 PM,149563,16.991,TRUE,Finance
"Mendez, Marilyn",,8/22/1999,9:09 AM,103386,11.451,FALSE,Distribution
"Silva, Arthur",Male,4/13/1998,11:28 AM,89786,14.422,TRUE,Legal
"Shaw, Terry",Male,9/3/1990,9:15 PM,52226,19.135,FALSE,Client Services
"Snyder, Mary",Female,8/13/1999,1:03 AM,134645,18.197,FALSE,Business Development
"Mason, ",Female,3/23/2014,1:28 PM,59148,9.061,,Legal
"Dixon, ",Female,7/9/1991,6:52 PM,42341,7.014,No,Sales
"Muñoz, Christopher",Male,12/24/2011,12:22 PM,142178,17.984,TRUE,Sales
"Hunt, Peter",,9/3/1987,5:59 PM,38989,7.017,TRUE,Marketing
"Hicks, Michelle",Female,11/4/1996,9:34 PM,53754,5.455,TRUE,Product
"Holmes, Irene",Female,1/29/1992,11:36 AM,133772,19.02,TRUE,Sales
"Palmer, Patrick",Male,8/17/2007,3:16 AM,143499,17.495,TRUE,Engineering
"Wagner, Sara",Female,9/23/1991,6:17 PM,97058,9.402,FALSE,Finance
"Black, Lillian",Female,12/21/2008,6:51 PM,85446,3.959,TRUE,Engineering
"Robertson, ",,9/18/2007,6:59 PM,40297,6.185,Yes,Client Services
"Boyd, Willie",Male,2/17/1998,8:20 PM,146651,1.451,TRUE,Engineering
"Rose, Victor",Male,1/8/2003,1:02 PM,124486,10.166,FALSE,Product
"Stone, Wayne",Male,4/7/2012,8:00 AM,102652,14.085,TRUE,Distribution
"Salazar, Jane",Female,9/3/1997,2:01 AM,144474,17.648,FALSE,Product
"Fox, Jessica",Female,10/23/1995,5:53 AM,68759,19.343,TRUE,Finance
"Warren, Mark",Male,4/12/2008,5:40 PM,57286,5.025,TRUE,Business Development
"Mills, Randy",Male,11/14/1999,12:12 PM,58129,1.952,TRUE,Distribution
"Meyer, Lillian",Female,6/19/1999,4:44 PM,123940,12.184,TRUE,Business Development
"Rice, Ruth",,5/18/1999,5:56 AM,98233,2.518,TRUE,Distribution
"Schmidt, Jerry",Male,12/18/2003,6:46 AM,140810,9.177,TRUE,Client Services
"Garza, Sandra",Female,1/19/1983,7:25 AM,42090,8.842,TRUE,Legal
"Daniels, ",Female,2/23/2005,9:50 PM,149654,1.825,,Sales
"Ferguson, Roger",Male,11/19/2004,3:55 PM,51430,6.46,FALSE,Marketing
"Nichols, Charles",Male,10/14/2000,9:40 PM,71749,15.931,FALSE,Legal
"Stephens, Clarence",Male,5/2/1998,3:16 AM,85700,1.215,FALSE,Sales
"Soto, Carol",Female,3/19/1996,3:39 AM,57783,9.129,FALSE,Finance
"Weaver, Lois",Female,10/18/2013,4:51 PM,36946,6.652,FALSE,Engineering
"Ryan, Barbara",,5/3/2003,7:32 PM,99326,16.475,TRUE,Legal
"Gardner, Rebecca",Female,2/18/1995,6:50 AM,109259,4.443,TRUE,Legal
"Payne, Irene",Female,1/30/2004,8:25 PM,131038,8.996,FALSE,Distribution
"Grant, Ronald",Male,4/30/2014,2:19 PM,121068,12.757,TRUE,Product
"Dunn, Steven",Male,11/10/1985,10:53 AM,62719,19.127,FALSE,Client Services
"Kelley, Carolyn",Female,11/6/2012,3:51 AM,69268,3.031,FALSE,Client Services
"Spencer, Maria",Female,12/27/1990,9:57 PM,36067,9.64,TRUE,Product
"Hawkins, Jonathan",Male,7/17/2009,8:15 AM,130581,16.736,TRUE,
"Arnold, Gary",Male,8/12/1987,12:04 AM,89661,8.525,FALSE,Finance
"Pierce, Kimberly",Female,7/15/1997,5:57 AM,36643,7.953,FALSE,Marketing
"Vazquez, Roger",Male,11/8/1982,2:32 AM,140558,5.084,TRUE,Sales
"Hansen, Diana",Female,1/4/2013,7:53 AM,103521,2.784,TRUE,Business Development
"Peters, Willie",Male,6/6/2006,9:45 AM,55281,4.935,TRUE,Marketing
"Santos, Brandon",Male,3/27/2006,5:54 PM,115711,8.012,TRUE,Finance
"Hart, Patricia",Female,12/6/2012,4:01 AM,114079,8.399,TRUE,Client Services
"Bradley, Katherine",Female,11/14/1999,8:15 AM,57531,1.767,FALSE,Client Services
"Knight, Jonathan",Male,10/12/1987,2:59 AM,141069,4.903,FALSE,Human Resources
"Elliott, Emily",Female,9/20/2007,11:25 AM,89434,11.295,FALSE,Engineering
"Cunningham, Ruth",Female,8/12/1986,7:29 PM,44639,9.148,TRUE,Legal
"Duncan, Linda",Female,6/24/2006,12:04 PM,110967,19.612,TRUE,Human Resources
"Armstrong, Lisa",Female,11/2/2009,9:42 AM,115387,1.821,FALSE,Client Services
"Hudson, Evelyn",Female,5/24/1980,11:10 PM,81673,15.364,TRUE,Engineering
"Carroll, Julie",Female,7/23/1989,1:52 PM,109588,3.55,FALSE,Engineering
"Lane, Mary",Female,5/30/2009,11:41 PM,92544,3.8,FALSE,Client Services
"Riley, Matthew",Male,7/31/2013,8:04 AM,142373,2.462,FALSE,Marketing
"Andrews, Douglas",Male,9/3/1999,4:00 PM,83341,1.015,TRUE,Client Services
"Alvarado, Gregory",,6/15/1992,5:08 AM,98865,10.628,TRUE,Finance
"Ray, Billy",Male,3/13/1995,12:05 PM,120444,7.768,TRUE,Finance
"Delgado, ",Female,6/17/1991,12:49 PM,71945,5.56,,Marketing
"Berry, Gregory",Male,1/29/2000,6:01 AM,109564,3.845,FALSE,Legal
"Perkins, Jason",Male,10/17/1999,10:09 PM,78417,3.067,FALSE,Finance
"Hoffman, Daniel",Male,4/30/2010,3:48 AM,106947,15.866,TRUE,Legal
"Johnston, Sarah",Female,9/14/1995,7:50 AM,87298,2.311,FALSE,Distribution
"Matthews, Harry",Male,10/1/2015,7:47 PM,64579,15.266,TRUE,Sales
"Peña, Kathy",Female,4/19/1995,12:46 AM,50905,9.404,TRUE,Finance
"Richards, Todd",Male,4/13/1999,10:31 AM,59728,11.226,TRUE,Client Services
"Contreras, Bobby",Male,9/23/1994,1:29 AM,51685,17.445,TRUE,Engineering
"Willis, Jeremy",Male,6/8/2000,12:15 AM,49542,1.679,TRUE,Distribution
"Carpenter, George",,2/24/1988,11:29 AM,38375,8.999,FALSE,Legal
"Lawrence, Diane",Female,4/18/1993,3:22 AM,64084,17.018,FALSE,Product
"Sandoval, Marilyn",Female,4/4/1997,9:28 PM,147663,10.263,FALSE,Human Resources
"Guerrero, Kathryn",Female,2/4/2004,1:47 PM,73935,14.752,FALSE,Sales
"George, Irene",Female,2/4/1982,5:26 PM,40837,12.182,TRUE,Client Services
"Chapman, Norma",Female,2/11/2015,11:44 PM,94393,3.643,TRUE,Engineering
"Rios, Laura",Female,4/2/2006,1:57 PM,42087,2.624,FALSE,Product
"Estrada, Cheryl",Female,9/23/2008,2:57 AM,52080,9.375,FALSE,Legal
"Ortega, Kevin",Male,3/25/1982,7:31 AM,35061,5.128,FALSE,Legal
"Watkins, Lillian",,5/12/2016,3:43 PM,64164,17.612,FALSE,Human Resources
"Greene, Phyllis",,4/21/1984,7:05 PM,94088,19.107,FALSE,Distribution
"Nuñez, Walter",Male,7/6/1983,11:54 PM,127813,5.961,FALSE,Finance
"Wheeler, Robert",Male,10/27/1990,7:15 PM,38041,18.428,TRUE,Engineering
"Valdez, Jimmy",Male,10/7/1986,5:53 PM,126310,5.413,TRUE,Product
"Harper, Clarence",Male,10/8/1996,12:53 PM,142561,8.866,FALSE,Client Services
"Burke, Victor",Male,4/11/1991,7:44 AM,70817,17.138,FALSE,Engineering
"Larson, Fred",,12/2/1984,2:03 PM,59937,12.045,TRUE,Human Resources
"Santiago, Brenda",,7/27/2010,11:07 PM,106115,3.742,TRUE,Product
"Maldonado, Justin",Male,12/6/1992,5:58 PM,82782,4.366,TRUE,Distribution
"Morrison, Betty",Female,6/12/2002,3:59 AM,104896,19.55,TRUE,Business Development
"Franklin, Randy",,2/6/1986,3:04 PM,133943,8.94,TRUE,Sales
"Carlson, Sharon",,3/1/1990,3:46 AM,83658,6.513,FALSE,Business Development
"Austin, Ralph",Male,11/11/2004,1:35 AM,71896,4.232,TRUE,Marketing
"Dominguez, ",,4/28/2003,3:01 AM,113732,10.391,,Sales
"Carr, Edward",Male,5/27/1985,10:13 PM,110485,7.995,FALSE,Client Services
"Lawson, Denise",Female,3/20/2009,7:57 AM,115118,5.108,FALSE,Human Resources
"Jacobs, Debra",Female,3/13/1998,11:16 PM,48696,4.75,FALSE,Legal
"O’Brien, ",Male,11/25/1999,6:16 AM,42676,15.517,,Sales
"Lynch, Michael",Male,1/24/2002,3:04 AM,43586,12.659,FALSE,
"Singh, Henry",Male,2/6/1995,8:34 AM,89258,15.585,TRUE,Human Resources
"Vega, Gloria",Female,3/27/2007,1:44 AM,90730,2.491,FALSE,Distribution
"Bishop, Marie",Female,8/6/1995,1:58 PM,100308,13.677,FALSE,Product
"Montgomery, Anne",Female,7/16/1986,2:08 PM,69134,3.723,TRUE,Engineering
"Oliver, Sarah",,11/21/1985,1:08 PM,58295,14.603,TRUE,Engineering
"Jensen, Stephanie",Female,3/24/1983,11:15 AM,50141,13.218,TRUE,Human Resources
"Harvey, Roy",Male,9/23/2004,1:31 PM,101941,3.45,FALSE,Client Services
"Williamson, ",Female,8/5/2009,8:14 AM,115145,14.063,,Distribution
"Gilbert, ",Male,2/4/2005,1:01 PM,40451,16.044,,Distribution
"Dean, Irene",Female,3/3/1982,8:26 AM,56526,5.81,TRUE,Finance
"Sims, ",Female,8/2/1992,8:35 PM,145316,18.517,,Human Resources
"Espinoza, Thomas",Male,4/6/2011,1:04 PM,103235,9.554,TRUE,Human Resources
"Howell, Frank",,11/20/2001,10:18 AM,58563,12.062,TRUE,Marketing
"Li, Fred",Male,2/20/1980,2:25 AM,74129,18.225,FALSE,Product
"Wong, Nicholas",Male,4/12/1994,8:21 PM,74669,1.113,TRUE,Product
"Reid, Howard",Male,10/5/1982,7:22 AM,97490,5.46,TRUE,Marketing
"Hanson, Debra",Female,2/22/1994,10:25 PM,104250,18.456,TRUE,Business Development
"Le, Christine",Female,7/3/1989,4:01 AM,94345,11.996,FALSE,Finance
"Mccoy, Brenda",,5/29/1991,6:32 AM,82439,19.062,FALSE,Sales
"Garrett, Betty",Female,6/28/2005,6:03 PM,51613,12.984,FALSE,Distribution
"Burton, Ruby",Female,11/8/2000,7:35 PM,105946,1.139,FALSE,Business Development
"Fuller, Kevin",Male,7/12/1997,2:07 AM,46080,9.635,FALSE,Business Development
"Wang, Arthur",Male,1/1/2014,7:46 PM,134610,6.147,TRUE,Human Resources
"Weber, Carl",,2/7/2014,3:57 AM,125104,12.345,FALSE,Client Services
"Welch, Todd",Male,3/11/2009,3:43 AM,107281,1.612,TRUE,Engineering
"Rojas, Brenda",Female,10/6/2005,9:33 PM,141521,4.337,FALSE,Client Services
"Lucas, Judy",Female,9/16/1997,12:10 AM,65931,2.304,FALSE,Human Resources
"Marquez, Todd",Male,2/2/1984,10:13 AM,69989,10.985,TRUE,Finance
"Fields, Lois",Female,11/9/2011,7:06 AM,147183,9.999,TRUE,Client Services
"Park, Walter",,12/21/1999,10:33 PM,66757,18.099,FALSE,Distribution
"Yang, Jessica",Female,9/27/1985,1:35 PM,75145,6.388,TRUE,Legal
"Little, Jeremy",Male,6/14/1988,6:20 PM,129460,13.657,TRUE,
"Banks, Tammy",Female,11/11/1984,10:30 AM,132839,17.463,TRUE,Client Services
"Padilla, Anne",Female,3/7/2000,6:45 AM,44537,18.284,TRUE,Client Services
"Day, Jesse",Male,10/25/1999,3:35 PM,118733,9.653,FALSE,Marketing
"Walsh, Virginia",Female,10/20/1999,6:23 AM,46905,19.154,FALSE,Distribution
"Bowman, Jesse",Male,3/2/1981,7:26 PM,79582,3.873,FALSE,Legal
"Schultz, Jeremy",,11/10/1996,1:49 PM,55394,3.18,TRUE,Sales
"Luna, Daniel",Male,9/15/2007,10:16 PM,123811,7.664,TRUE,Human Resources
"Fowler, Patrick",,8/30/2004,11:43 AM,137314,4.542,TRUE,Marketing
"Mejia, Emily",Female,1/13/1988,6:42 AM,36711,19.028,TRUE,Human Resources
"Davidson, Alan",Male,6/26/1988,3:54 AM,111786,3.592,TRUE,Engineering
"Acosta, James",Male,7/11/2015,8:52 PM,72257,13.023,FALSE,Engineering
"Brewer, Adam",Male,7/5/2007,11:59 AM,71276,5.027,TRUE,Human Resources
"May, Joan",,7/25/1980,12:22 PM,38712,3.657,FALSE,Client Services
"Holland, Jeremy",Male,8/12/1981,12:05 AM,46930,18.702,TRUE,Finance
"Juarez, Margaret",Female,2/6/1993,1:05 PM,125220,3.733,FALSE,Marketing
"Newman, Mark",Male,4/1/1984,1:21 PM,121477,17.44,TRUE,Business Development
"Pearson, Marilyn",Female,9/26/1981,2:23 AM,86386,2.937,FALSE,Distribution
"Curtis, Cheryl",Female,9/8/2009,10:16 AM,81308,2.196,TRUE,Legal
"Cortéz, Benjamin",Male,9/11/1984,6:37 AM,84810,15.794,FALSE,Marketing
"Douglas, Harold",Male,2/20/1990,11:00 PM,66775,2.158,TRUE,Legal
"Schneider, Ernest",,1/18/2002,1:51 AM,72145,13.448,TRUE,Finance
"Joseph, Gerald",Male,4/16/2001,10:09 PM,121604,1.923,TRUE,Sales
"Barrett, Judy",Female,7/1/1991,2:33 AM,109510,13.457,TRUE,Legal
"Navarro, Bobby",Male,3/31/1996,5:40 PM,112117,6.338,FALSE,
"Figueroa, Bobby",,9/1/1995,2:09 PM,108127,15.858,FALSE,Client Services
"Keller, Marie",Female,10/3/2013,8:05 PM,123711,10.966,FALSE,Product
"Ávila, Kathy",Female,12/18/2013,3:09 PM,132381,8.34,FALSE,Business Development
"Wade, Roy",Male,8/6/2006,7:52 AM,148225,1.841,FALSE,Finance
"Molina, Jacqueline",Female,11/25/1981,3:01 PM,145988,18.243,FALSE,Marketing
"Stanley, ",Female,7/8/2008,11:40 PM,62960,14.356,,Sales
"Hopkins, Julie",Female,3/23/1986,9:26 AM,56926,7.507,FALSE,Sales
"Campos, Douglas",Male,1/8/2002,6:42 PM,41428,14.372,FALSE,Product
